100,100
"31,67","31,67"
38,83
#9156,#63291
63291,63291
222227,222227
89000,8900
596,596
6.74,.$674
754932,754632
590,590
000.001,00.0001
1.793,1.793
6.8E+45,68 E44
634,634
56.03,0.5603
63.89,63.89
-,-
5786 C, 5786 C
8.3401,8.3401
467.73,4677.33
6.49,6.48
888666,8888666
3.1104,3.2204
697.53,697.53
45AT6, 45AT6
56.432,56.432
111117,11117
55.39,55.38
78/913, 789/13
875.566,87.566
5879.3, #5879.3
400000,40000
-,-
4789P, 4789Q
11679,11678
21%.0, 21$.0
-,-
5890,5890
58&21, 5&821
21345,21345
121.21*, 131.21*
813.2,813.2
42.61,4.261
0.56, 56?
13#21#, 13#21
31.435,21.435
2/456, 2/456
U12345, U12345
546.211,54.6211
489211,489.211
9400,-9400
79.45,79.46
98X-500, 98-X500
45.131,45131
021G, 021G
385,385
6940361,6940631
A6996W, A6996V
0.9,0.9
500000,500000
4.79,4.76
90.03,90.02
45678,345678
5,5
900001,900001
689,689
6934721,693421
666.99,666.99
-,-
58W30, 58W30
322222,3222222
640/373, 640/372
0.33,0.33
22234444,22334444
#6903, #6903
*79145,79145
0.6899,0.6899
5566885,5566885
8435,8435
791L, 791L
3156(31, 3156(31
5.6.70," ,5.6.70"
589.76, &589.76
32567,325676
#21m121, #21m121
690.111, 690?11
112.321,112.321
115%111, 115%111
115.211,11.5211
"21,356","21,356"
35%671, 35%671
365BA, 365BA
21.41,21.41
612.13,612.12
D23456, D23456
-,-
28.31,28.31
31.21.31, 31.21.31
52998n, 53998n
28.71,28.71
1/569, 1/5.69
-,-
345679,345678
0.584,0.584
4938621,493821
29.71428571,29.71428571
*304, *304
-533.22,+533.22
68.11000,681.1000
943/571, 94/3571
0.25,0.25
#856.04, #856.04
777.41,777.41
*5.422, #5.422
45E566, 45F566
-,-
9.554,9.554
.11112,.11113
793.22,793.2
33.222,33.222
9.4/68,94/69
841,841
$111/1,$11/11
57,75
-803.4,-803.5
56G666, 56G666
0.9002,0.9002
#81.79, #81.79
579843,579873
56B31, 561B3
65/312, 55/312
36578,36578
689.5,689.75
-21.31,-21.31
P3789, P3689
21456,21456
35.67,0.3569
.28999,.28999
359.6,359.6
84%.38, 84#.38
-90.24,90.24
234567,243567
116.75,116.75
1921,1921
Ve190, VE190
*291,291
921Ak, 9Si43
42$10, 42$la
121.11se, 121.11re
